name;description;date;week_day_name
New Year's Day;New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar.;2020-01-01;Wednesday
Carnival Friday;Carnival Friday is a observance in Brazil;2020-02-21;Friday
Carnival Saturday;Carnival Saturday is a observance in Brazil;2020-02-22;Saturday
Carnival Sunday;Carnival Sunday is a observance in Brazil;2020-02-23;Sunday
Carnival Monday;Carnival Monday is a government holiday in Brazil;2020-02-24;Monday
Carnival Tuesday;Carnival has several long-standing traditions in Brazil.;2020-02-25;Tuesday
Carnival end (until 2pm);Ash Wednesday marks the first day of Lent in western Christian churches.;2020-02-26;Wednesday
March Equinox;March Equinox in Brazil (Brasilia);2020-03-20;Friday
Good Friday;Good Friday is a global Christian observance two days before Easter Sunday.;2020-04-10;Friday
Easter Sunday;Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.;2020-04-12;Sunday
Tiradentes Day;Tiradentes Day is a national holiday in Brazil;2020-04-21;Tuesday
Labor Day / May Day;Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world.;2020-05-01;Friday
Mother's Day;Mother’s Day celebrates the achievements and efforts of mothers and mother figures.;2020-05-10;Sunday
Corpus Christi;Corpus Christi is a Christian feast in honor of the Holy Eucharist.;2020-06-11;Thursday
Brazilian Valentine's Day;Brazilian Valentine's Day is a observance in Brazil;2020-06-12;Friday
June Solstice;June Solstice in Brazil (Brasilia);2020-06-20;Saturday
Father's Day;Father's Day is a observance in Brazil;2020-08-09;Sunday
Independence Day;Independence Day is a national holiday in Brazil;2020-09-07;Monday
September Equinox;September Equinox in Brazil (Brasilia);2020-09-22;Tuesday
Our Lady of Aparecida / Children's Day;Our Lady of Aparecida / Children's Day is a national holiday in Brazil;2020-10-12;Monday
Teacher's Day;Teacher's Day is a observance in Brazil;2020-10-15;Thursday
Public Service Holiday;Public Service Holiday is a government holiday in Brazil;2020-10-28;Wednesday
All Souls' Day;All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.;2020-11-02;Monday
Republic Proclamation Day;Republic Proclamation Day is a national holiday in Brazil;2020-11-15;Sunday
Black Awareness Day;Black Awareness Day is a observance in Brazil;2020-11-20;Friday
December Solstice;December Solstice in Brazil (Brasilia);2020-12-21;Monday
Christmas Eve (from 2pm);Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.;2020-12-24;Thursday
Christmas Day;Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.;2020-12-25;Friday
New Year's Eve (from 2pm);New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.;2020-12-31;Thursday
New Year's Day;New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar.;2021-01-01;Friday
Carnival Friday;Carnival Friday is a observance in Brazil;2021-02-12;Friday
Carnival Saturday;Carnival Saturday is a observance in Brazil;2021-02-13;Saturday
Carnival Sunday;Carnival Sunday is a observance in Brazil;2021-02-14;Sunday
Carnival Monday;Carnival Monday is a government holiday in Brazil;2021-02-15;Monday
Carnival Tuesday;Carnival has several long-standing traditions in Brazil.;2021-02-16;Tuesday
Carnival end (until 2pm);Ash Wednesday marks the first day of Lent in western Christian churches.;2021-02-17;Wednesday
March Equinox;March Equinox in Brazil (Brasilia);2021-03-20;Saturday
Good Friday;Good Friday is a global Christian observance two days before Easter Sunday.;2021-04-02;Friday
Easter Sunday;Easter Sunday commemorates Jesus Christ’s resurrection, according to Christian belief.;2021-04-04;Sunday
Tiradentes Day;Tiradentes Day is a national holiday in Brazil;2021-04-21;Wednesday
Labor Day / May Day;Labor Day, International Workers' Day, and May Day, is a day off for workers in many countries around the world.;2021-05-01;Saturday
Mother's Day;Mother’s Day celebrates the achievements and efforts of mothers and mother figures.;2021-05-09;Sunday
Corpus Christi;Corpus Christi is a Christian feast in honor of the Holy Eucharist.;2021-06-03;Thursday
Brazilian Valentine's Day;Brazilian Valentine's Day is a observance in Brazil;2021-06-12;Saturday
June Solstice;June Solstice in Brazil (Brasilia);2021-06-21;Monday
Father's Day;Father's Day is a observance in Brazil;2021-08-08;Sunday
Independence Day;Independence Day is a national holiday in Brazil;2021-09-07;Tuesday
September Equinox;September Equinox in Brazil (Brasilia);2021-09-22;Wednesday
Our Lady of Aparecida / Children's Day;Our Lady of Aparecida / Children's Day is a national holiday in Brazil;2021-10-12;Tuesday
Teacher's Day;Teacher's Day is a observance in Brazil;2021-10-15;Friday
Public Service Holiday;Public Service Holiday is a government holiday in Brazil;2021-10-28;Thursday
All Souls' Day;All Souls’ Day falls on November 2 each year. It is a day of alms giving and prayers for the dead.;2021-11-02;Tuesday
Republic Proclamation Day;Republic Proclamation Day is a national holiday in Brazil;2021-11-15;Monday
Black Awareness Day;Black Awareness Day is a observance in Brazil;2021-11-20;Saturday
December Solstice;December Solstice in Brazil (Brasilia);2021-12-21;Tuesday
Christmas Eve (from 2pm);Christmas Eve is the day before Christmas Day and falls on December 24 in the Gregorian calendar.;2021-12-24;Friday
Christmas Day;Christmas Day is one of the biggest Christian celebrations and falls on December 25 in the Gregorian calendar.;2021-12-25;Saturday
New Year's Eve (from 2pm);New Year’s Eve is the last day of the year, December 31, in the Gregorian calendar.;2021-12-31;Friday
New Year's Day;New Year’s Day is the first day of the year, or January 1, in the Gregorian calendar.;2022-01-01;Saturday
Carnival Friday;Carnival Friday is a observance in Brazil;2022-02-25;Friday
Carnival Saturday;Carnival Saturday is a observance in Brazil;2022-02-26;Saturday
Carnival Sunday;Carnival Sunday is a observance in Brazil;2022-02-27;Sunday
Carnival Monday;Carnival Monday is a government holiday in Brazil;2022-02-28;Monday
Carnival Tuesday;Carnival has several long-standing traditions in Brazil.;2022-03-01;Tuesday
